No.,Sex,type,Dam,Sire,D.O.B,DW,LW,BirthType,Slaughter.Sale.Date,Sold.as.Store.or.Breeding,Day,Weight,AgeMonths,DurationBeforeSlaughter,LambID,Year
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,1,50,0.0333333333333333,NA,Lamb16,2016
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,120,49,4,NA,Lamb16,2016
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,127,50,4.23333333333333,NA,Lamb16,2016
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,164,51,5.46666666666667,NA,Lamb16,2016
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,219,68,7.3,NA,Lamb16,2016
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,276,67,9.2,NA,Lamb16,2016
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,304,66,10.133333333333301,NA,Lamb16,2016
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,339,74,11.3,NA,Lamb16,2016
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,373,80,12.4333333333333,NA,Lamb16,2016
431,F,pedigree,727/12,137,2016-02-29,NA,NA,Quadruplet,NA,NA,408,92,13.6,NA,Lamb16,2016
435,M,pedigree,2121/09,137,2016-03-01,30.4,65,Single,2016-12-07,Prime,1,46,0.0333333333333333,281,Lamb17,2016
435,M,pedigree,2121/09,137,2016-03-01,30.4,65,Single,2016-12-07,Prime,119,47,3.96666666666667,281,Lamb17,2016
435,M,pedigree,2121/09,137,2016-03-01,30.4,65,Single,2016-12-07,Prime,126,46,4.2,281,Lamb17,2016
435,M,pedigree,2121/09,137,2016-03-01,30.4,65,Single,2016-12-07,Prime,185,45,6.16666666666667,281,Lamb17,2016
436,F,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2016-10-11,Breeding,1,44,0.0333333333333333,224,Lamb18,2016
436,F,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2016-10-11,Breeding,119,40,3.96666666666667,224,Lamb18,2016
436,F,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2016-10-11,Breeding,126,44,4.2,224,Lamb18,2016
436,F,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2016-10-11,Breeding,163,48,5.43333333333333,224,Lamb18,2016
436,F,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2016-10-11,Breeding,218,56,7.26666666666667,224,Lamb18,2016
